Страна,Тип компании,Кем работаю,Должность,Как отразился карантин
Беларусь,Компания аутсорс,Программист,Senior,Никак
Беларусь,Компания аутсорс,Программист,Mid,Поперли заказы / Стало лучше
Беларусь,Фрилансер,Программист,Senior,Никак
Беларусь,Продуктовая компания,Программист,Junior,Никак
Беларусь,Компания аутсорс,Программист,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Продуктовая компания,Программист,Senior,Никак
Беларусь,Продуктовая компания,Программист,Senior,Никак
Беларусь,Компания аутсорс,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Свой вариант,Senior,Поперли заказы / Стало лучше
Беларусь,IT отдел в компании,Свой вариант,Manager,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Программист,Mid,Никак
Беларусь,Проектная работа (например веб-студия),Программист,Mid,Никак
Беларусь,Компания аутсорс,Программист,другое,Никак
Беларусь,Компания аутсорс,Свой вариант,другое,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Программист,,Никак
Беларусь,Компания аутсорс,Программист,Junior,Никак
Беларусь,Продуктовая компания,Программист,Junior,Никак
Беларусь,Продуктовая компания,DevOps,Junior,Никак
Беларусь,Продуктовая компания,Свой вариант,Manager,Никак
Беларусь,Компания аутсорс,Системный администратор,Senior,Поперли заказы / Стало лучше
Беларусь,Компания аутсорс,Программист,Senior,Никак
Беларусь,Компания аутсорс,Программист,Junior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,Программист,Mid,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
Беларусь,Компания аутсорс,QA,Mid,Никак
Беларусь,Продуктовая компания,Программист,Mid,Никак
Беларусь,Проектная работа (например веб-студия),Программист,Senior,Урезали ЗП / Неоплачиваемый отпуск / Стало хуже
